0.000000,-0.004684
0.000063,-0.007882
0.000125,-0.009824
0.000188,-0.009024
0.000250,-0.008453
0.000313,-0.008568
0.000375,-0.008796
0.000438,-0.008568
0.000500,-0.008682
0.000562,-0.008796
0.000625,-0.008796
0.000687,-0.008796
0.000750,-0.009024
0.000812,-0.009367
0.000875,-0.009481
0.000937,-0.009596
0.001000,-0.009938
0.001063,-0.010395
0.001125,-0.010738
0.001187,-0.011195
0.001250,-0.011652
0.001313,-0.011995
0.001375,-0.012337
0.001437,-0.012680
0.001500,-0.013023
0.001563,-0.013251
0.001625,-0.013365
0.001687,-0.013480
0.001750,-0.013480
0.001813,-0.013480
0.001875,-0.013365
0.001937,-0.013365
0.002000,-0.013251
0.002063,-0.013137
0.002125,-0.012908
0.002188,-0.012451
0.002250,-0.011995
0.002312,-0.011538
0.002375,-0.011081
0.002437,-0.010624
0.002500,-0.009938
0.002563,-0.009253
0.002625,-0.008453
0.002687,-0.007654
0.002750,-0.006854
0.002812,-0.006054
0.002875,-0.005483
0.002938,-0.005026
0.003000,-0.004341
0.003063,-0.003655
0.003125,-0.003084
0.003187,-0.002627
0.003250,-0.002056
0.003312,-0.001485
0.003375,-0.001028
0.003438,-0.000685
0.003500,-0.000114
0.003563,0.000343
0.003625,0.000685
0.003687,0.001142
0.003750,0.001485
0.003812,0.001828
0.003875,0.002170
0.003938,0.002627
0.004000,0.002970
0.004063,0.003313
0.004125,0.003884
0.004188,0.004455
0.004250,0.004912
0.004313,0.005369
0.004375,0.006054
0.004437,0.006511
0.004500,0.007082
0.004562,0.007768
0.004625,0.008453
0.004687,0.009139
0.004750,0.009710
0.004812,0.010624
0.004875,0.011652
0.004938,0.012451
0.005000,0.013251
0.005063,0.014051
0.005125,0.014850
0.005188,0.015650
0.005250,0.016335
0.005313,0.016792
0.005375,0.017249
0.005437,0.017592
0.005500,0.017820
0.005562,0.017935
0.005625,0.018049
0.005687,0.018392
0.005750,0.018849
0.005812,0.018963
0.005875,0.018963
0.005938,0.018963
0.006000,0.018963
0.006063,0.018849
0.006125,0.018734
0.006188,0.018620
0.006250,0.018506
0.006313,0.018163
0.006375,0.017592
0.006437,0.017021
0.006500,0.016564
0.006562,0.016221
0.006625,0.015878
0.006687,0.015650
0.006750,0.015422
0.006812,0.015079
0.006875,0.014736
